Date,Location,Import Oils,Import Animal Products,Import Processed Food,Import Vegetable Products,Price Oils,Price Animal Products,Price Processed Food,Price Vegetable Products
2017-08-01,Saskatchewan,2334.0,8191.0,33316.0,11696.0,8.76,5.92762037037037,3.658333333333333,3.186410256410256
2017-09-01,Alberta,1916.0,13250.0,72765.0,66730.0,8.39,6.350203703703704,3.8097222222222222,3.0215384615384617
2017-09-01,British Columbia,5128.0,57187.0,167319.0,124737.0,8.683333333333332,6.469861111111111,3.866388888888889,3.062051282051282
2017-09-01,Canada,39440.0,334291.0,1237498.0,573419.0,7.0200000000000005,6.120231481481481,3.657222222222222,2.755128205128205
2017-09-01,Manitoba,2266.0,7798.0,64283.0,26361.0,8.323333333333332,6.036222222222222,3.618888888888889,2.9697435897435898
2017-09-01,New Brunswick,1387.0,61625.0,10950.0,5812.0,8.566666666666668,5.9663055555555555,3.780277777777778,3.065384615384615
2017-09-01,Newfoundland and Labrador,0.0,0.0,234.0,1.0,8.446666666666667,6.113274509803922,3.849444444444444,3.5051282051282047
2017-09-01,Nova Scotia,0.0,18.0,1809.0,306.0,8.513333333333334,5.888787037037037,3.8019444444444446,3.079230769230769
2017-09-01,Ontario,27218.0,169480.0,810598.0,323469.0,6.786666666666666,6.227759259259259,3.5616666666666665,2.652307692307692
2017-09-01,Prince Edward Island,0.0,496.0,120.0,2.0,8.346666666666666,5.959833333333333,3.7275,3.113076923076923
2017-09-01,Quebec,899.0,12366.0,79658.0,15892.0,7.276666666666666,6.269768518518519,3.6350000000000002,2.7164102564102564
2017-09-01,Saskatchewan,624.0,8822.0,29763.0,10108.0,8.396666666666667,6.013175925925926,3.641944444444445,3.032051282051282
2017-10-01,Alberta,1941.0,36226.0,82110.0,68760.0,8.206666666666665,6.044324074074074,3.889166666666666,3.0064102564102564
2017-10-01,British Columbia,4761.0,53022.0,176071.0,133095.0,8.526666666666666,6.168027777777778,3.9091666666666662,3.044102564102564
2017-10-01,Canada,41938.0,370595.0,1307793.0,613424.0,6.706666666666667,5.744472222222222,3.6875,2.756923076923077
2017-10-01,Manitoba,5135.0,7190.0,65843.0,27360.0,8.176666666666666,5.7089537037037035,3.6999999999999997,3.003846153846154
2017-10-01,New Brunswick,842.0,85123.0,12188.0,4706.0,8.94,5.733231481481481,3.8205555555555555,3.038205128205128
2017-10-01,Newfoundland and Labrador,0.0,0.0,4.0,0.0,9.023333333333333,5.930460784313726,3.8941666666666666,3.443076923076923
